rating_rank,title,year,genres
1795,Lakai - Fully Flared,,Documentary
1796,The Eight Mountains,,Drama
1797,Haikyuu!! Movie 2: Winners and Losers,,Animation
1798,Depeche Mode 101,,"Documentary, Music"
1799,Beastie Boys: Video Anthology,,"Documentary, Music"
1800,Interrogation,,Action
1801,Interrogation,,Action
1802,Poor Things,,"Science Fiction, Romance, Comedy"
1803,The Beasts,,"Science Fiction, Adventure, Action"
1804,The 4th Annual Live 'On Cinema' Oscar Special,,
1805,Gleason,,Documentary
1806,Cold War,,"Drama, Romance, War, Music"
1807,Marvel Studios Assembled: The Making of X-Men '97,,Documentary
1808,Ashes and Diamonds,,"Drama, War, Romance"
1809,Grey Gardens,,Documentary
1810,Visaranai,,"Drama, Thriller"
1811,Laura,,"Drama, Mystery"
1812,The House in the Woods,,Horror
1813,Departures,,Drama
1814,The Guns,,"War, Adventure, Thriller, Action"
1815,City of Pirates,,"Drama, Fantasy"
1816,Ida,,Drama
1817,Hometown Cha-Cha-Cha,,
1818,The Watermelon Woman,,"Drama, Comedy, Romance"
1819,Kizumonogatari Part 2: Nekketsu,,"Animation, Fantasy, Mystery"
1820,"Duck! Rabbit, Duck!",,"Animation, Comedy"
1821,BTS : Live Trilogy Episode III - The Wings Tour,,"Music, Documentary"
1822,Balkan Spy,,"Drama, Comedy"
1823,aespa: WORLD TOUR in cinemas,,"Music, Documentary"
1824,The Trial,,"Thriller, Drama"
1825,Varda by Agnès,,Documentary
1826,Camp de Thiaroye,,"War, Drama"
1827,The Death of Mr. Lazarescu,,"Drama, Comedy"
1828,Kisapmata,,"Crime, Drama, Thriller"
1829,The Corner,,
1830,The Gospel According to St. Matthew,,"Comedy, Family, Music"
1831,Mon Oncle,,Comedy
1832,Equinox Flower,,Drama
1833,Cuba and the Cameraman,,Documentary
1834,ONI: Thunder God's Tale,,
1835,Ricky Jay and His 52 Assistants,,"Documentary, Comedy"
1836,Calls,,Drama
1837,Barber's Tales,,Drama
1838,Kuroneko,,"Horror, Fantasy"
1839,Ouran High School Host Club,,Comedy
1840,Nightless Night,,Drama
1841,Ben-Hur,,"History, Drama, Adventure, Action"
1842,The Sixth Sense,,"Mystery, Thriller, Drama"
1843,Vivre Sa Vie,,Drama
1844,George Carlin: You Are All Diseased,,"Comedy, Documentary, TV Movie"
1845,Doctor Who: The War Games,,"Science Fiction, Drama, Adventure"
1846,Islands of Fire,,Documentary
1847,Midnight Mass,,"Drama, Horror"
1848,Daria in 'Is It College Yet?',,"Animation, Comedy, TV Movie"
1849,Jão: SuperTurnê ao Vivo,,"Music, Documentary"
1850,"Cole Escola's ""Our Home Out West""",,"Comedy, Western, Romance"
1851,Amy,,"Documentary, Music"
1852,JFK,,"Drama, Thriller, History"
1853,Lovers Rock,,
1854,Judas and the Black Messiah,,"Drama, History"
1855,Don't Hug Me I'm Scared,,"Animation, Comedy, Horror, Music"
1856,Crimes and Misdemeanors,,"Comedy, Drama"
1857,State of Siege,,"Action, Drama"
1858,The Last Days,,"Action, Adventure, Fantasy, Thriller"
1859,The Angel,,"Action, Drama, History, Thriller, War"
1860,Gimme Shelter,,"Documentary, Music"
1861,"São Paulo, Incorporated",,Drama
1862,Given,,Documentary
1863,The Vanishing,,"Thriller, Mystery"
1864,In Vanda's Room,,Drama
1865,Tekkonkinkreet,,"Action, Adventure, Animation"
1866,Bye Bye Tiberias,,Documentary
1867,The Night of Counting the Years,,"Drama, History"
1868,The Favourite,,"Drama, Comedy, Thriller, History"
1869,The Velvet Queen,,Documentary
1870,Fauve,,Drama
1871,Sing Street,,"Romance, Drama, Music"
1872,Greed,,"Comedy, Drama"
1873,Insecure: The End,,Documentary
1874,Puella Magi Madoka Magica the Movie Part II: Eternal,,"Thriller, Animation, Fantasy"
1875,The Red Sleeve,,
1876,Heartworn Highways,,"Documentary, Music"
1877,Melancholia,,"Drama, Science Fiction"
1878,In the Heat of the Night,,"Crime, Drama, Mystery, Thriller"
1879,Big Time,,"Documentary, Music"
1880,Waltz with Bashir,,"Drama, Animation, War, Documentary"
1881,Summer Heights High,,
1882,Throat Notes,,Animation
1883,Mr. Queen,,
1884,The Assassination of Jesse James by the Coward Robert Ford,,"Drama, Western"
1885,Vincent,,"Animation, Fantasy"
1886,I Am Twenty,,Drama
1887,The Raid 2,,"Action, Crime, Thriller"
1888,Dirty Computer,,"Music, Drama, Romance, Science Fiction"
1889,Near Death,,"Horror, Fantasy, Thriller"
1890,Once Upon a Time in Northern Ireland,,
1891,Distant Sky,,"Documentary, Music"
1892,J'accuse,,"History, Drama, Thriller"
1893,A Scene at the Sea,,"Drama, Romance, Comedy"
1894,Nyan~ Neko Sugar Girls,,
1895,Barry,,Drama
1896,Cat Soup,,"Fantasy, Animation, Science Fiction"
1897,Alice in Borderland,,
1898,Billy Elliot,,"Drama, Comedy, Music"
1899,How to Train Your Dragon,,"Fantasy, Adventure, Animation, Family"
1900,Children of Shatila,,"Documentary, History"
1901,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,,"Animation, Action, Adventure, Science Fiction"
1902,The Hand,,"Horror, Drama, Mystery"
1903,The Silence of Others,,Documentary
1904,A Perfect Planet,,Documentary
1905,"That Day, on the Beach",,Drama
1906,"Norte, The End of History",,"Crime, Drama"
1907,"Oh, Sun",,Drama
1908,All Your Faces,,Drama
1909,Metallica & the San Francisco Symphony: S&M²,,"Music, Documentary"
1910,Encounters at the End of the World,,Documentary
1911,Skhizein,,"Drama, Animation"
1912,Newsies,,"Drama, Music, History, Family"
1913,Long Strange Trip,,"Music, Documentary"
1914,Léon: The Professional,,"Crime, Drama, Action"
1915,Who Is America?,,Documentary
1916,Undertaker: The Last Ride,,
1917,Crip Camp: A Disability Revolution,,Documentary
1918,George Carlin: It's Bad for Ya!,,Comedy
1919,Taylor Hawkins Tribute Concert,,Music
1920,Hellsing Ultimate,,"Animation, Action, Horror"
1921,A Raisin in the Sun,,"Drama, TV Movie"
1922,Superstar: The Karen Carpenter Story,,"Drama, Music, Animation"
1923,And So We Put Goldfish in the Pool.,,Drama
1924,Little Girl,,Documentary
1925,A Hidden Life,,"Drama, War, History"
1926,National Theatre Live: Frankenstein,,"Drama, Horror, Science Fiction"
1927,Mob Psycho 100 II: The First Spirits and Such Company Trip - A Journey that Mends the Heart and Heals the Soul,,
1928,Laurence Anyways,,"Drama, Romance"
1929,The Maxx,,
1930,Evil Dead II,,"Horror, Comedy, Fantasy"
1931,Peeping Tom,,"Crime, Thriller"
1932,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,,"Comedy, Romance"
1933,On the Silver Globe,,"Science Fiction, Drama"
1934,Moonrise Kingdom,,"Comedy, Drama, Romance"
1935,Night and the City,,"Drama, Crime"
1936,Land of Fear,,"Drama, Crime"
1937,"This Is Not a Burial, It’s a Resurrection",,Drama
1938,The Time to Live and the Time to Die,,Drama
1939,John Adams,,Music
1940,Masaan,,Drama
1941,Scream,,"Horror, Mystery, Thriller"
1942,Haikyuu!! The Movie: The End and the Beginning,,"Animation, Drama"
1943,Stranger Things,,Drama
1944,The Beyoncé Experience Live,,"Music, Documentary"
1945,The Cloud-Capped Star,,Drama
1946,The Blues Accordin' to Lightnin' Hopkins,,"Documentary, Music"
1947,Son of a Mother,,Documentary
1948,The Eric Andre New Year's Eve Spooktacular,,"Comedy, TV Movie"
1949,Baby Reindeer,,Documentary
1950,Pretend That You Love Me,,
1951,Exterminate All the Brutes,,
1952,Decalogue IX,,"Drama, TV Movie, Romance"
1953,The Master,,Drama
1954,Daft Punk - Alive 2007 - Live Album Concert in Paris,,"Music, Documentary"
1955,Sound of the Mountain,,Drama
1956,Snatch,,"Crime, Comedy"
1957,Personal Problems,,Drama
1958,Black Narcissus,,Drama
1959,Gett: The Trial of Viviane Amsalem,,Drama
1960,Early Spring,,"Drama, Romance"
1961,"I, Daniel Blake",,Drama
1962,Oasis Knebworth 1996,,"Documentary, Music"
1963,Zodiac,,"Crime, Drama, Mystery, Thriller"
1964,Lost & Found,,"Action, Adventure, Fantasy"
1965,Fullmetal Alchemist,,"Action, Adventure, Fantasy"
1966,Challengers,,"Romance, Drama"
1967,A Difficult Life,,"Comedy, Drama"
1968,Louis C.K.: Chewed Up,,"Comedy, TV Movie"
1969,The Testament of Dr. Mabuse,,"Crime, Mystery, Thriller"
1970,Great Pretender,,"Animation, Crime, Action"
1971,Hey Ram,,"History, Drama, Crime"
1972,Gavin & Stacey Christmas Special 2008,,Comedy
1973,My Voyage to Italy,,Documentary
1974,Fantastic Planet,,"Animation, Science Fiction"
1975,How Green Was My Valley,,Drama
1976,The Bridges of Madison County,,"Drama, Romance"
1977,Her,,"Romance, Science Fiction, Drama"
1978,Style Wars,,"Music, Documentary, TV Movie"
1979,Batman: Mask of the Phantasm,,"Action, Animation, Crime, Mystery, Drama"
1980,Shadows of Forgotten Ancestors,,"Drama, Romance"
1981,The 36th Chamber of Shaolin,,"Action, Adventure"
1982,Capitu,,"Drama, Romance"
1983,Arctic Monkeys - At The Apollo,,Music
1984,Fox and His Friends,,Drama
1985,Looking for Langston,,Drama
1986,Love in the Afternoon,,"Comedy, Romance"
1987,The Egg,,"Drama, Science Fiction, Fantasy"
1988,Infernal Affairs,,"Drama, Action, Thriller, Crime, Mystery"
1989,About Time,,"Drama, Romance, Fantasy"
1990,Scavengers,,"Science Fiction, Action"
1991,Salut les Cubains,,Documentary
1992,Downton Abbey: The Finale,,
1993,Babette's Feast,,Drama
1994,Better Call Saul Presents: Slippin' Jimmy,,
1995,STILL: A Michael J. Fox Movie,,Documentary
1996,Star Wars: Clone Wars,,"Animation, Action, Science Fiction, Adventure"
1997,Swallowtail Butterfly,,"Drama, Crime"
1998,Cat City,,"Animation, Adventure, Comedy"
1999,Four Adventures of Reinette and Mirabelle,,"Comedy, Drama"
2000,At the First Breath of Wind,,Drama
2001,Thingu,,"Animation, Science Fiction, Horror, Comedy"
2002,Voyage to Cythera,,Drama
2003,Penguindrum,,"Animation, Drama, Comedy, Science Fiction, Mystery"
2004,The Bridge,,Documentary
2005,Louis C.K.: Hilarious,,"Comedy, TV Movie"
2006,The White Archer,,"Adventure, TV Movie"
2007,Insiang,,Drama
2008,35 Up,,Documentary
2009,Dark Days,,Documentary
2010,Red Desert,,Drama
2011,O Caso Evandro,,
2012,Lake of Fire,,Documentary
2013,Police Story,,"Action, Crime, Thriller"
2014,Head-On,,"Drama, Romance"
2015,Young Frankenstein,,Comedy
2016,Hunger,,"Drama, History"
2017,Le Notti Bianche,,"Drama, Romance"
2018,Little Forest,,Drama
2019,The Player,,"Mystery, Drama, Comedy, Crime"
2020,Penguindrum,,"Animation, Drama, Comedy, Science Fiction, Mystery"
2021,Winnie-the-Pooh,,"Horror, Thriller"
2022,La région centrale,,Documentary
2023,David Gilmour - Live at Pompeii,,Music
2024,Santa Sangre,,"Drama, Horror, Thriller"
2025,Hidden Love,,Drama
2026,The Raid,,Action
2027,Hannah and Her Sisters,,"Comedy, Drama"
2028,Tower,,"Animation, Crime, Documentary"
2029,Ghost Dog: The Way of the Samurai,,"Crime, Drama"
2030,Wild Wild Country,,Drama
2031,What's My Name | Muhammad Ali,,
2032,Bring The Soul: Docu-Series,,
2033,Leviathan,,"Adventure, Horror, Thriller, Science Fiction"
2034,The Fabelmans,,Drama
2035,Nobody's Business,,Documentary
2036,Pale Flower,,"Crime, Romance"
2037,Giri/Haji,,
2038,The Swimmer,,Drama
2039,Flight of the Conchords: A Texan Odyssey,,"Comedy, Music, Documentary"
2040,Moonage Daydream,,"Documentary, Music"
2041,The Little Mermaid,,"Adventure, Family, Fantasy, Romance"
2042,The American Friend,,"Drama, Thriller"
2043,The Seventh Continent,,Drama
2044,Carol,,"Romance, Drama"
2045,The New Pope,,Documentary
2046,A Study in Pink,Unaired Pilot,
2047,Black Rain,,"Drama, Action, Thriller"
2048,The 2nd Annual Live 'On Cinema' Oscar Special,,
2049,Green Snake,,"Animation, Fantasy, Action, Adventure"
2050,Swing Kids,,"Music, Drama"
2051,The Wild Pear Tree,,Drama
2052,We Are Who We Are,,Documentary
2053,The Boys,,Drama
2054,Buccaneer Soul,,"Comedy, Drama"
2055,Hot Potato: The Story of The Wiggles,,Documentary
2056,Casino Royale,,"Adventure, Action, Thriller"
2057,Dancing with the Birds,,Documentary
2058,Attenborough's Life in Colour,,
2059,Let the Fire Burn,,Documentary
2060,"Steamboat Bill, Jr.",,"Comedy, Romance"
2061,Three Men and a Leg,,Comedy
2062,A Bronx Tale,,"Drama, Crime"
2063,Hyenas,,"Drama, Horror"
2064,Don't Hug Me I'm Scared 2,,"Horror, Animation, Fantasy, Music"
2065,Boiling Point,,"Drama, Thriller"
2066,Window Water Baby Moving,,Documentary
2067,9/21/21,,
2068,The Rocky Horror Picture Show,,"Comedy, Science Fiction, Fantasy, Horror"
2069,Daisies,,
2070,Taylor Swift: VH1 Storytellers,,"Music, Documentary"
2071,Daybreak Express,,"Documentary, Music"
2072,Compasso de Espera,,"Drama, Romance"
2073,House: Swan Song,,
2074,La terra trema,,Drama
2075,The Discreet Charm of the Bourgeoisie,,Comedy
2076,The Defiant Ones,,"Crime, Drama"
2077,The Browning Version,,Drama
2078,Wake in Fright,,"Drama, Thriller"
2079,The Fabulous Baron Munchausen,,"Fantasy, Adventure, Animation, Comedy"
2080,The Tattooist of Auschwitz,,
2081,Blue Neighbourhood,,Music
2082,House,,"Comedy, Horror, Fantasy"
2083,Cat Skin,,"Drama, Romance"
2084,Farha,,"Drama, History, War"
2085,Fiona Apple: MTV Unplugged,,"Music, Documentary"
2086,Moriarty the Patriot,,"Drama, History, Mystery"
2087,The Black Power Mixtape 1967-1975,,"Documentary, History"
2088,Sidewalls,,"Drama, Romance"
2089,Captains of the World,,Animation
2090,blur | No Distance Left to Run,,"Documentary, Music"
2091,Tea and Sympathy,,Drama
2092,They Do Not Exist,,Documentary
2093,Section 1,,Horror
2094,0.5 mm,,Drama
2095,Eyes Wide Shut,,"Drama, Thriller, Mystery"
2096,Tempestad,,Documentary
2097,A Sign of Affection,,
2098,Louis C.K.: Shameless,,"Comedy, TV Movie"
2099,Depeche Mode: Devotional,,"Music, Documentary"
2100,The Storks Will Return,,Drama
2101,The Prince of Egypt,,"Adventure, Animation, Drama, Family"
2102,The Flavor of Green Tea Over Rice,,Drama
2103,From Dreams - The Making of the Last of Us: Left Behind,,Documentary
2104,Pariah,,Drama
2105,The Collapse,,"Science Fiction, Animation"
2106,Marriage Story,,Drama
2107,Time for Revenge,,
2108,Babylon,,"Drama, Comedy"
2109,Bill Hicks: Revelations,,Comedy
2110,Chicago Typewriter,,
2111,Häxan,,"Documentary, Horror, History"
2112,Hud,,"Drama, Western"
2113,Ivy,,"Drama, Crime, Thriller"
2114,Cherry Bomb: The Documentary,,Documentary
2115,The Lost Flowers of Alice Hart,,
2116,Prohibition,,
2117,Honeyland,,"Animation, Family"
2118,Battleship Potemkin,,"Drama, History, War"
2119,The Vampires of Poverty,,Comedy
2120,Walking with Beasts,,
2121,Virumaandi,,"Drama, Action"
2122,The French Connection,,"Action, Crime, Thriller"
2123,The Summit of the Gods,,"Animation, Adventure, Mystery"
2124,A Streetcar Named Desire,,"Drama, Thriller"
2125,Takin' Over the Asylum,,
2126,Mobile Suit Gundam,,"Animation, Science Fiction, Action, Drama"
2127,21 Up,,Documentary
2128,Happy as Lazzaro,,"Drama, Fantasy"
2129,Fosse/Verdon,,
2130,The Leftovers,,"Family, Drama"
2131,Red Post on Escher Street,,"Comedy, Drama"
2132,Kids on the Slope,,"Drama, Music, Romance"
2133,Dragon Inn,,"Action, Adventure"
2134,The Long Day Closes,,Drama
2135,Five Came Back,,"Documentary, War"
2136,Larisa,,Documentary
2137,Black Is King,,Music
2138,Our Body,,Documentary
2139,Warrior,,"Drama, Action"
2140,Coreys,,"Comedy, Fantasy, Horror"
2141,Dog Star Man,,"Mystery, Fantasy, Drama"
2142,Kedi,,Documentary
2143,At Sea,,Documentary
2144,Planet of the Apes,,"Science Fiction, Adventure, Action"
2145,National Theatre Live: Yerma,,"Drama, Romance"
2146,Two,,"Science Fiction, Adventure"
2147,10 Things I Hate About You,,"Comedy, Romance, Drama"
2148,All Quiet on the Western Front,,"Drama, War, Action"
2149,Oprah Winfrey Presents: When They See Us Now,,Documentary
2150,Walking the Streets of Moscow,,"Comedy, Romance"
2151,The Weeknd x The Dawn FM Experience,,"Music, TV Movie, Documentary"
2152,Fear & Shame,,Action
2153,20th Century Women,,Drama
2154,About Dry Grasses,,Drama
2155,Broadcast News,,"Comedy, Romance"
2156,Love,,"Drama, Romance"
2157,The Wolf of Wall Street,,"Crime, Drama, Comedy"
2158,The Confession,,"Crime, Drama"
2159,"Hi Bye, Mama!",,
2160,The Snowman,,"Crime, Thriller"
2161,Mamma Roma,,Drama
2162,Belle de Jour,,"Drama, Romance"
2163,The Trials of Gabriel Fernandez,,
2164,Charade,,"Comedy, Mystery, Romance"
2165,Ship of Theseus,,Drama
2166,"It's Not Me, I Swear!",,"Comedy, Drama"
2167,The Dover Boys at Pimento University or The Rivals of Roquefort Hall,,"Animation, Comedy"
2168,Jiro Dreams of Sushi,,Documentary
2169,Haider,,"Crime, Drama"
2170,Germany Year Zero,,Drama
2171,Good Time,,"Crime, Thriller"
2172,God's Comedy,,"Comedy, Drama"
2173,The 5th Annual Live 'On Cinema' Oscar Special,,
2174,Nostalgia for the Light,,Documentary
2175,State of Play,,"Thriller, Crime, Mystery"
2176,Queen: Days of Our Lives,,"Music, Documentary"
2177,The Making of The Walking Dead,,Documentary
2178,ARCANE,,"Drama, Animation, History, Adventure"
2179,Shirkers,,Documentary
2180,Fifi Howls from Happiness,,Documentary
2181,Satya,,"Crime, Thriller, Drama"
2182,Navillera,,
2183,The Time That Remains,,"Drama, History"
2184,Black Dynamite,,"Comedy, Action"
2185,86 EIGHTY-SIX,,
2186,Imitation of Life,,"Drama, Romance"
2187,Little Palestine: Diary of a Siege,,Documentary
2188,To the Left of the Father,,Drama
2189,The Marathon Family,,"Comedy, Drama"
2190,The Right Stuff,,"Drama, History, Adventure"
2191,Feast,,"Animation, Comedy, Drama, Family"
2192,Wattstax,,"Music, Documentary"
2193,Siberiade,,"War, Drama, History, Romance"
2194,Chris Rock: Bring the Pain,,Comedy
2195,A Visitor to a Museum,,"Drama, Science Fiction"
2196,Sleuth,,"Thriller, Mystery, Crime, Comedy"
2197,Buddies,,Drama
2198,Land of Mine,,"War, Drama, History"
2199,Inspiration,,"Drama, Romance"
2200,The 7 Lives of Lea,,
2201,Gaslight,,"Thriller, Drama, Mystery, Crime"
2202,Queen of Tears,,Comedy
2203,"Ivan the Terrible, Part II: The Boyars' Plot",,"History, Drama"
2204,Nerdy Prudes Must Die,,"Horror, Thriller, Comedy, Music"
2205,The Philadelphia Story,,"Comedy, Romance"
2206,Hour of the Wolf,,"Drama, Horror"
2207,Pirosmani,,Drama
2208,The IT Crowd: The Internet Is Coming,,
2209,Revival of Evangelion,,"Action, Animation, Drama, Science Fiction"
2210,Lone Wolf and Cub: Baby Cart at the River Styx,,"Action, Drama"
2211,The Boy and the Wind,,Drama
2212,Supernatural: The End of the Road,,
2213,Dead End,,"Mystery, Horror, Thriller"
2214,Oliver Stone's Untold History of the United States,,"Documentary, History"
2215,Silence Has No Wings,,Drama
2216,In a Year with 13 Moons,,Drama
2217,Billie Eilish: The World's a Little Blurry,,"Documentary, Music"
2218,Demon Slayer: Kimetsu no Yaiba,,"Animation, Action, Fantasy"
2219,Kings of the Road,,Drama
2220,How to Save a Dead Friend,,"Documentary, Drama"
2221,The Killing,,"Crime, Thriller"
2222,The Aviator's Wife,,"Drama, Comedy, Romance"
2223,I'm No Longer Here,,Drama
2224,Near Orouet,,"Comedy, Drama"
2225,In a Heartbeat,,"Animation, Romance, Comedy"
2226,Miller's Crossing,,"Drama, Thriller, Crime"
2227,Bullet in the Head,,"Crime, Drama, Action"
2228,Kikujiro,,"Comedy, Drama"
2229,The Set-Up,,"Drama, Crime"
2230,Love and Anarchy,,"Romance, Drama, Comedy"
2231,rain,,Drama
2232,Birdman or,The Unexpected Virtue of Ignorance,"Drama, Comedy"
2233,HAIM / Valentine,,Music
2234,Menus-Plaisirs - Les Troisgros,,Documentary
2235,Fruits Basket,,"Animation, Comedy, Drama, Romance"
2236,The Man Who Stole the Sun,,"Comedy, Crime, Thriller, Action, Science Fiction"
2237,But I'm a Cheerleader,,"Comedy, Romance"
2238,Toy Story 3,,"Animation, Family, Comedy"
2239,Muddy River,,Drama
2240,Miss Americana,,"Documentary, Music"
2241,George Carlin: Complaints & Grievances,,"Comedy, TV Movie"
2242,George Carlin: Life Is Worth Losing,,"Comedy, TV Movie"
2243,The Secret Garden,,"Family, Fantasy, Drama"
2244,City of Life and Death,,"Drama, History, War"
2245,Tange Sazen and the Pot Worth a Million Ryo,,"Drama, Comedy"
2246,Trust,,"Crime, Drama, Thriller"
2247,One Piece: Baron Omatsuri and the Secret Island,,"Action, Animation, Comedy"
2248,Punch-Drunk Love,,"Romance, Drama, Comedy"
2249,Mobile Suit Zeta Gundam,,"Action, Animation, Science Fiction"
2250,The Last of Us,,Documentary
2251,The Good Lord Bird,,
2252,Marona's Fantastic Tale,,"Animation, Drama, Family"
2253,L'Amour fou,,Documentary
2254,One Night Stand: Flight of the Conchords,,"Comedy, Music"
2255,Ashes and Snow,,"Documentary, Drama"
2256,The Old Man and the Sea,,"Adventure, Drama"
2257,El Keif,,"Drama, Crime, Comedy"
2258,Spaced: Skip to the End,,Documentary
2259,Lilo & Stitch,,"Animation, Family"
2260,"War and Peace, Part II: Natasha Rostova",,"History, Romance, Drama, War"
2261,Lovely★Complex,,"Comedy, Romance"
2262,National Theatre Live: A Streetcar Named Desire,,Drama
2263,The Great White Silence,,Documentary
2264,MTV Unplugged presents: twenty one pilots,,Music
2265,Queen: Hungarian Rhapsody - Live in Budapest '86,,"Music, Documentary"
2266,The Lion in Winter,,"Drama, History"
2267,Sea Countrymen,,Documentary
2268,George Carlin's American Dream,,
2269,The Only Son,,Drama
2270,Linkin Park and Friends - Celebrate Life in Honor of Chester Bennington,,Music
2271,SmartLess: On the Road,,
2272,Songs for Drella,,Music
2273,Made of Air,,
2274,"Belfast, Maine",,Documentary
2275,Meeting the Man: James Baldwin in Paris,,Documentary
2276,At Land,,"Mystery, Fantasy"
2277,L'Argent,,"Crime, Drama"
2278,For the Hungry Boy,,
2279,Bringing Up Baby,,"Comedy, Romance"
2280,La Promesse,,Drama
2281,Better Days,,Drama
2282,Yuri!!! on Ice,,
2283,Kannathil Muthamittal,,"Drama, War"
2284,Movie Dementia,,"Fantasy, Drama"
2285,That Obscure Object of Desire,,"Comedy, Drama, Romance"
2286,Liza with a Z,,"Music, TV Movie"
2287,Through the Darkness,,"Drama, Action, Crime"
2288,The Girl and The Robot,,Animation
2289,Brasil,,"Music, Documentary"
2290,My Friends,,Romance
2291,Lady Gaga's artRAVE - The ARTPOP Ball,,Music
2292,Ordinary People,,Drama
2293,Phoenix,,Drama
2294,Madonna: Blond Ambition World Tour Live,,Music
2295,Purple Noon,,"Crime, Thriller, Drama"
2296,Jean de Florette,,Drama
2297,The Triplets of Belleville,,"Animation, Comedy, Drama"
2298,Sullivan's Travels,,"Comedy, Romance, Adventure"
2299,Nelson Cavaquinho,,"Documentary, Music"
2300,Liz and the Blue Bird,,"Animation, Drama, Music"
2301,"BloodSisters: Leather, Dykes, and Sadomasochism",,Documentary
2302,Interstellar: Nolan's Odyssey,,Documentary
2303,Tux and Fanny,,"Animation, Fantasy, Comedy, Adventure"
2304,Porco Rosso,,"Family, Comedy, Animation, Adventure"
2305,Porco Rosso,,"Family, Comedy, Animation, Adventure"
2306,To Live and Die in L.A.,,"Crime, Thriller, Action"
2307,Tux and Fanny,,"Animation, Fantasy, Comedy, Adventure"
2308,Stewart Lee: Carpet Remnant World,,Comedy
2309,What Happened Was...,,"Comedy, Drama, Romance"
2310,Linkin Park: Live in Texas,,"Music, Documentary"
2311,Cleaners,,Comedy
2312,The World of Us,,Drama
2313,Colossal Youth,,"Comedy, Drama, Romance"
2314,Daguerréotypes,,Documentary
2315,A Farewell to Ozark,,Documentary
2316,A Trip to the Moon,,"Adventure, Science Fiction"
2317,Deck of Cards,,Comedy
2318,Notre Dame de Paris,,"Drama, History, Horror"
2319,Jigarthanda,,"Drama, Crime"
2320,The Muppet Movie,,"Comedy, Adventure, Music, Family"
2321,I Think This Is the Closest to How the Footage Looked,,Documentary
2322,The Hourglass Sanatorium,,"Drama, Fantasy"
2323,Collective,,Documentary
2324,Stalag 17,,"Comedy, Drama, War"
2325,Turnê Anti-Herói,Ao Vivo,"Music, Documentary"
2326,Top Gun: Maverick,,"Action, Drama"
2327,Don't Hug Me I'm Scared 4,,"Horror, Fantasy, Animation, Music"
2328,The Verdict,,Drama
2329,Manichitrathazhu,,"Fantasy, Thriller, Horror"
2330,"I Was Born, But...",,"Comedy, Drama"
2331,The Lunchbox,,"Drama, Romance"
2332,Titicut Follies,,Documentary
2333,The Promised Land,,"History, Drama"
2334,Savage X Fenty Show,,Documentary
2335,The New ‘On Cinema’ Oscar Special,,
2336,National Theatre Live: Hamlet,,"Drama, Romance"
2337,Fighting Spirit - Mashiba vs. Kimura,,"Animation, Comedy, Drama, Action"
2338,The Blue Planet,,"Action, Adventure, Family, Science Fiction"
2339,"It's Okay, That's Love",,
2340,Knives Out,,"Comedy, Crime, Mystery"
2341,Time Piece,,"Comedy, Music, Fantasy"
2342,Mike Birbiglia: My Girlfriend's Boyfriend,,Comedy
2343,Song of Love,,"Drama, Fantasy, Romance"
2344,Bidoof's Big Stand,,"Animation, Family"
2345,How to Survive a Plague,,"Documentary, History"
2346,Too Many Cooks,,"Horror, Comedy, Science Fiction, Crime, TV Movie"
2347,"Goodbye, Dragon Inn",,"Drama, Comedy"
2348,"Darkness, Light, Darkness",,"Science Fiction, Animation, Action"
2349,Walkabout,,"Adventure, Drama"
2350,Once Upon a Time there Lived a Dog,,"Comedy, Animation, Family"
2351,American Dream,,Comedy
2352,Ghostlight,,"Comedy, Drama"
2353,Who We Are: A Chronicle of Racism in America,,Documentary
2354,The 8th Annual Live 'On Cinema' Oscar Special,,Comedy
2355,Out of the Blue,,Drama
2356,The Silence,,"Horror, Drama, Thriller, Fantasy"
2357,The Kingdom II,,"Action, Adventure, War"
2358,Into the Unknown: Making Frozen II,,
2359,Lucky Star,,"Action, Comedy"
2360,Francisca,,"Drama, Romance"
2361,Neighbours,,"Animation, Comedy"
2362,Ghost Stories,,"Horror, Drama"
2363,The Fly,,"Horror, Science Fiction"
2364,Million Dollar Baby,,Drama
2365,The National Parks: America's Best Idea,,
2366,The Batman,,"Crime, Mystery, Thriller"
2367,Soul in the Eye,,"Drama, History"
2368,Guillermo del Toro's Pinocchio,,"Animation, Fantasy, Drama"
2369,The Ballad of Narayama,,Drama
2370,The Exorcist,,"Horror, Drama"
2371,The King of Kong: A Fistful of Quarters,,Documentary
2372,The Manchurian Candidate,,"Drama, Thriller, Mystery"
2373,Stewart Lee: Content Provider,,Comedy
2374,A Few Good Men,,Drama
2375,L'Atalante,,"Romance, Drama, Comedy"
2376,The Bridge of Arts,,Drama
2377,The Bridge of Arts,,Drama
2378,Gilles Deleuze from A to Z,,"TV Movie, Documentary"
2379,Ex Machina,,"Drama, Science Fiction"
2380,Double Fine PsychOdyssey,,
2381,Chimes at Midnight,,"Comedy, Drama, History, War"
2382,Bound,,"Drama, Thriller, Crime"
2383,Foragers,,Documentary
2384,Another Year,,"Drama, Comedy"
2385,Louis C.K.: Live at the Beacon Theater,,"Comedy, TV Movie"
2386,Downton Abbey: Christmas at Downton Abbey,,
2387,The Passenger,,"Crime, Drama, Horror, Thriller"
