popularity_rank,title,year,genres
219,The Iron Claw,,"Drama, History"
220,No Hard Feelings,,"Comedy, Romance"
221,Mulholland Drive,,"Thriller, Drama, Mystery"
222,Last Night in Soho,,"Mystery, Thriller, Horror"
223,Encanto,,"Animation, Comedy, Family, Fantasy"
224,Society of the Snow,,"Drama, History"
225,Star Wars: Episode I – The Phantom Menace,,"Adventure, Action, Science Fiction"
226,Star Wars: The Last Jedi,,"Adventure, Action, Science Fiction"
227,Scarface,,"Action, Crime, Drama"
228,Léon: The Professional,,"Crime, Drama, Action"
229,Harry Potter and the Half-Blood Prince,,"Adventure, Fantasy"
230,"I, Tonya",,"Drama, Comedy"
231,The Big Lebowski,,"Comedy, Crime"
232,The Godfather: Part II,,"Crime, Drama, Thriller"
233,Black Widow,,"Action, Adventure, Science Fiction"
234,Bones and All,,"Drama, Horror, Romance"
235,Logan,,"Action, Drama, Science Fiction"
236,Harry Potter and the Deathly Hallows: Part 1,,"Adventure, Fantasy"
237,12 Angry Men,,Drama
238,Ferris Bueller's Day Off,,Comedy
239,Kill Bill: Vol. 2,,"Action, Crime, Thriller"
240,Pirates of the Caribbean: The Curse of the Black Pearl,,"Adventure, Fantasy, Action"
241,Deadpool 2,,"Action, Comedy, Adventure"
242,Moonrise Kingdom,,"Comedy, Drama, Romance"
243,Trainspotting,,"Drama, Crime"
244,Edward Scissorhands,,"Fantasy, Drama, Romance"
245,The Thing,,"Horror, Mystery, Science Fiction"
246,Shang-Chi and the Legend of the Ten Rings,,"Action, Adventure, Fantasy"
247,Captain Marvel,,"Action, Adventure, Science Fiction"
248,Rogue One: A Star Wars Story,,"Action, Adventure, Science Fiction"
249,The Amazing Spider-Man,,"Action, Adventure, Science Fiction"
250,The Nice Guys,,"Comedy, Crime, Action"
251,Saving Private Ryan,,"Drama, History, War"
252,About Time,,"Drama, Romance, Fantasy"
253,Ant-Man,,"Science Fiction, Action, Adventure"
254,The Favourite,,"Drama, Comedy, Thriller, History"
255,The Revenant,,"Western, Drama, Adventure"
256,Captain America: The First Avenger,,"Action, Adventure, Science Fiction"
257,Elvis,,"Drama, Music, History"
258,Your Name.,,"Animation, Romance, Drama"
259,BlacKkKlansman,,"Comedy, Crime, Drama"
260,American Beauty,,Drama
261,Five Nights at Freddy's,,"Horror, Mystery"
262,The Great Gatsby,,"Drama, Romance"
263,"Girl, Interrupted",,Drama
264,Jennifer's Body,,"Horror, Comedy"
265,Eyes Wide Shut,,"Drama, Thriller, Mystery"
266,Black Panther: Wakanda Forever,,"Action, Adventure, Science Fiction"
267,Luca,,"Animation, Comedy, Fantasy, Adventure, Family"
268,Apocalypse Now,,"Drama, War"
269,The Shape of Water,,"Drama, Fantasy, Romance"
270,The Virgin Suicides,,"Drama, Romance"
271,The Florida Project,,Drama
272,The Worst Person in the World,,"Drama, Romance, Comedy"
273,Toy Story 3,,"Animation, Family, Comedy"
274,Beautiful Boy,,Drama
275,Zootopia,,"Animation, Adventure, Family, Comedy"
276,Gladiator,,"Action, Drama, Adventure"
277,In the Mood for Love,,"Drama, Romance"
278,Isle of Dogs,,"Adventure, Comedy, Animation"
279,The Hateful Eight,,"Drama, Mystery, Western"
280,Turning Red,,"Animation, Family, Comedy, Fantasy"
281,The Pianist,,"Drama, War"
282,Booksmart,,Comedy
283,Raiders of the Lost Ark,,"Adventure, Action"
284,Star Wars: The Rise of Skywalker,,"Adventure, Action, Science Fiction"
285,Star Wars: Episode II – Attack of the Clones,,"Adventure, Action, Science Fiction"
286,Triangle of Sadness,,"Comedy, Drama"
287,The Handmaiden,,"Thriller, Drama, Romance"
288,Moana,,"Adventure, Comedy, Family, Fantasy"
289,The Royal Tenenbaums,,"Comedy, Drama"
290,Incredibles 2,,"Action, Adventure, Animation, Family"
291,Iron Man 3,,"Action, Adventure, Science Fiction"
292,The Northman,,"Action, Adventure, Fantasy"
293,Suicide Squad,,"Action, Adventure, Fantasy"
294,Spider-Man 3,,"Action, Adventure, Science Fiction"
295,Legally Blonde,,"Comedy, Romance"
296,Charlie and the Chocolate Factory,,"Adventure, Comedy, Family, Fantasy"
297,Toy Story 2,,"Animation, Comedy, Family"
298,Licorice Pizza,,"Drama, Comedy, Romance"
299,Sound of Metal,,"Drama, Music"
300,Big Hero 6,,"Adventure, Family, Animation, Action, Comedy"
301,Iron Man 2,,"Adventure, Action, Science Fiction"
302,The Conjuring,,"Horror, Thriller"
303,Frozen,,"Animation, Family, Adventure, Fantasy"
304,Thor,,"Adventure, Fantasy, Action"
305,The Killing of a Sacred Deer,,"Drama, Thriller, Mystery"
306,Cars,,"Animation, Adventure, Comedy, Family"
307,TÁR,,"Drama, Music"
308,The Hunger Games: Mockingjay – Part 1,,"Science Fiction, Adventure, Thriller"
309,Vertigo,,"Mystery, Romance, Thriller"
310,City of God,,"Drama, Crime"
311,"tick, tick...BOOM!",,"Drama, Music"
312,The Hangover,,Comedy
313,Die Hard,,"Action, Thriller"
314,Halloween,,"Horror, Thriller"
315,How to Train Your Dragon,,"Fantasy, Adventure, Animation, Family"
316,"Crazy, Stupid, Love.",,"Comedy, Drama, Romance"
317,Kingsman: The Secret Service,,"Crime, Comedy, Action, Adventure"
318,John Wick: Chapter 4,,"Action, Thriller, Crime"
319,When Harry Met Sally...,,"Comedy, Romance, Drama"
320,Eternals,,"Science Fiction, Action, Adventure"
321,The Irishman,,"Crime, Drama, History"
322,All Quiet on the Western Front,,"Drama, War, Action"
323,Godzilla Minus One,,"Science Fiction, Horror, Action"
324,mother!,,Drama
325,Corpse Bride,,"Romance, Fantasy, Animation"
326,Civil War,,"War, Action, Drama"
327,Pan's Labyrinth,,"Fantasy, Drama, War"
328,Promising Young Woman,,"Thriller, Crime, Drama"
329,The Sixth Sense,,"Mystery, Thriller, Drama"
330,The Killer,,"Crime, Thriller"
331,Ocean's Eleven,,"Thriller, Crime"
332,Shaun of the Dead,,"Horror, Comedy"
333,All of Us Strangers,,"Romance, Drama, Fantasy"
